id,name,type_1,type_2,ability_1,ability_2,hidden_ability,classification,hp,attack,defense,special_attack,special_defense,speed,color,height(m),weight(kg),shape,habitat,egg_group_1,egg_group_2,held_items,is_legendary,flavor_text
1,Bulbasaur,grass,poison,overgrow,,chlorophyll,Seed Pokémon,45,49,49,65,65,45,green,0.7,6.9,quadruped,grassland,monster,plant,,False,"For some time after its birth, it grows by gaining nourishment from the seed on its back. It can go for days without eating a single morsel.In the bulb on its back, it stores energy. While it is young, it uses the nutrients that arestored in the seeds on its back in order to grow. There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger. A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON. A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon. The seed on its back is filled with nutrients.The seed grows steadily larger as its body grows. Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger. BULBASAUR can be seen napping in bright sunlight. There is a seed on its back.By soaking up the sun’s rays, the seed grows progressively larger. There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger. While it is young, it uses the nutrients that are stored in the seed on its back in order to grow. BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger. It can go for days without eating a single morsel. In the bulb on its back, it stores energy. It carries a seed on its back right from birth. As itgrows older, the seed also grows larger. It carries a seed on its back right from birth. As it grows older, the seed also grows larger. A strange seed was planted on its back at birth.The plant sprouts and grows with this POKéMON. The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows."
2,Ivysaur,grass,poison,overgrow,,chlorophyll,Seed Pokémon,60,62,63,80,80,60,green,1.0,13.0,quadruped,grassland,monster,plant,,False,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom. To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower. There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower. When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs. There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon. When the bulb on its back grows large, it appearsto lose the ability to stand on its hind legs. There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong.If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon. The bulb on its back grows by drawing energy.It gives off an aroma when it is ready to bloom. The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom. Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger. If the bud on its back starts to smell sweet, itis evidence that the large flower will soon bloom. Exposure to sun  light adds to its strength. Sunlightalso makes the bud on its back grow larger. When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom. The bulb on its back grows as it absorbs nutrients.The bulb gives off a pleasant aroma when it blooms."
3,Venusaur,grass,poison,overgrow,,chlorophyll,Seed Pokémon,80,82,83,100,100,80,green,2.0,100.0,quadruped,grassland,monster,plant,,False,"There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. It is able to con  vert sunlight into energy. As aresult, it is more powerful in the summertime. The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy. After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon. The plant blooms when it is absorbing solarenergy. It stays on the move to seek sunlight. There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutritionand sunlight. The flower’s aroma soothes the emotions of people. It is able to convert sunlight into energy. As a result, it is more powerful in the summertime. Huge amounts of pollen burst from it with the force of a volcanic eruption. Breathing in too much of the pollen can cause fainting. By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power. Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight. VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. In order to support its flower, which has grown larger due to Mega Evolution, its back and legs have become stronger. In battle, this Pokémon swings around two thick vines. If these vines slammed into a 10-story building, they could easily topple it. The flower on its back catches the sun's rays.The sunlight is then absorbed and used for energy. By spreading the broad petals of its flower andcatching the sun's rays, it fills its body with power. As it warms it  self and absorbs the sunlight, itsflower petals release a pleasant fragrance. A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle."
4,Charmander,fire,,blaze,,solar-power,Lizard Pokémon,39,52,43,60,50,65,red,0.6,8.5,upright,mountain,monster,dragon,,False,"The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly. The flame at the tip of its tail makes a sound asit burns. You can only hear it in quiet places. From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out. Obviously prefers hot places. When it rains, steamis said to spout from the tip of its tail. The flame on its tail shows the strength of itslife force. If it is weak, the flame also burns weakly. The flame on its tail indicates CHARMANDER's lifeforce. If it is healthy, the flame burns brightly. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER isenjoying itself. If the POKéMON becomes enraged, the flame burns fiercely. It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged. The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly. The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely. The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places. The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely. If it's healthy, the flame on the tip of its tailwill burn vigor  ously, even if it gets a bit wet."
5,Charmeleon,fire,,blaze,,solar-power,Flame Pokémon,58,64,58,80,65,80,red,1.1,19.0,upright,mountain,monster,dragon,,False,"When it swings its burning tail, it elevates the air temperature to  unbearably high levels. In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars. It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws. It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws. Tough fights could excite this Pokémon. When excited, it may breathe out bluish-white flames. It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins. When it swings its burning tail, it elevates thetemperature to unbearably high levels. If it becomes agitated during battle, it spoutsintense flames, incinerating its surroundings. Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color. If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings. It is very hot  headed by nature, so it constantlyseeks opponents. It calms down only when it wins. It has a barbaric nature. In battle, it whips itsfiery tail around and slashes away with sharp claws. When it swings its burning tail, it elevates the air temperature to unbearably high levels. Tough fights could excite this POKéMON. Whenexcited, it may blow out bluish- white flames. CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turnsaggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color. In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars. Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color."
6,Charizard,fire,flying,blaze,,solar-power,Flame Pokémon,78,84,78,109,85,100,red,1.7,90.5,upright,mountain,monster,dragon,,False,"This colossal, flame-winged figure of a Charizard was brought about by Gigantamax energy. Breathing intense, hot flames, it can melt almost any thing. Its breath inflicts terrible pain on enemies. The flame inside its body burns hotter than 3,600 degrees Fahrenheit. When Charizard roars, that temperature climbs even higher. It uses its wings to fly high. The temperature of itsfire increases as it gains exper  ience in battle. The overwhelming power that fills its entire body causes it to turn black and creates intense blue flames. When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely. When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely. It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles. A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe. It is said that Charizard’s fire burns hotter if it has experienced harsh battles. Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself. If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade. Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies. Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures. Spits fire that is hot enough to melt boulders.Known to cause forest fires unintentionally. If CHARIZARD be  comes furious, the flame at the tipof its tail flares up in a whitish- blue color. CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heatthat it melts anything. However, it never turns its fiery breath on any opponent weaker than itself. When expelling a blast of super hot fire, the redflame at the tip of its tail burns more intensely. Its bond with its Trainer is the source of its power. It boasts speed and maneuverability greater than that of a jet fighter. It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames. Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
7,Squirtle,water,,torrent,,rain-dish,Tiny Turtle Pokémon,44,48,65,50,64,43,blue,0.5,9.0,upright,waters-edge,monster,water1,,False,"When it feels threatened, it draws its legsinside its shell and sprays water from its mouth. Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds. SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and thegrooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds. After birth, its back swells and hardens into a shell. It powerfully sprays foam  from its mouth. Shoots water at prey while in the water. Withdraws into its shell when in danger. Shoots water at prey while in the water.Withdraws into its shell when in danger. It shelters itself in its shell then strikes back with spouts of water at every opportunity. After birth, its back swells and hardens into ashell. Powerfully sprays foam from its mouth. The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it. The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out. Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling SQUIRTLE to swim at high speeds. The shell, which hardens soon after it is born, isresilient. If you poke it, it will bounce back out. When it retracts its long neck into its shell, it squirts out water with vigorous force. When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth. It shelters itself in its shell, then strikes back with spouts of water at every opportunity. The shell is soft when it is born. It soon becomes soresilient, prod  ding fingers will bounce off it."
8,Wartortle,water,,torrent,,rain-dish,Turtle Pokémon,59,63,80,65,80,58,blue,1.0,22.5,upright,waters-edge,monster,water1,,False,"It cleverly controls its furry ears and tail to maintain its balance while swimming. Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages.The scratches on its shell are evidence of this POKéMON’s toughness as a battler. It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old. It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old. It is recognized as a symbol of longevity. If itsshell has algae on it, that WARTORTLE is very old. This POKéMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity. Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler. When tapped on its head, this Pokémon will pull it in, but its tail will still stick out a little bit. When tapped, this POKéMON will pull in its head, butits tail will still stick out a little bit. It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance. It cleverly con  trols its furry ears and tail tomaintain its balance while swimming. Often hides in water to stalk unwary prey. Forswimming fast, it moves its ears to maintain balance. It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity. When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit. Its long, furry tail is a symbol of longevity,making it quite popular among older people. Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMON’s toughness in battle."
9,Blastoise,water,,torrent,,rain-dish,Shellfish Pokémon,79,83,100,85,105,78,blue,1.6,85.5,upright,waters-edge,monster,water1,,False,"The jets of water it spouts from the rocket cannons on its shell can punch through thick steel. The rocket cannons on its shell fire jets of water capable of punching holes through thick steel. It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires. A brutal POKéMON with pressurized water jets on itsshell. They are used for high speed tackles. The cannon on its back is as powerful as a tank gun. Its tough legs and back enable it to withstand the recoil from firing the cannon. The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet. It firmly plants its feet on the ground beforeshooting water from the jets on its back. It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell. The pressurized water jets on this brutal POKéMON’s shell are used for high- speed tackles. Once it takes aim at its enemy, it blasts out waterwith even more force than a fire hose. The pressurized water jets on this brutal Pokémon’s shell are used for high-speed tackles. Once it takes aim at its enemy, it blasts out water with even more force than a fire hose. It’s not very good at precision shooting. When attacking, it just fires its 31 cannons over and over and over. The rocket cannons on its shell fire jets of watercapable of punch  ing holes through thick steel. Water fired from this Pokémon’s central main cannon has enough power to blast a hole into a mountain. Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet. BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate.They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet. It deliberately makes itself heavy so it can with stand the recoil of the water jets it fires."
10,Caterpie,bug,,shield-dust,,run-away,Worm Pokémon,45,30,35,20,20,45,green,0.3,2.9,armor,forest,bug,,,False,"It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon. Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae. When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey. If you touch the feeler on top of its head, it willrelease a horrible stink to protect itself. Its short feet are tipped with suction pads thatenable it to tirelessly climb slopes and walls. For protection, it releases a horrible stench from the antennae on its head to drive away enemies. If you touch the feeler on top of its head, it will release a horrible stink to protect itself. Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day. Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor. Its feet have suction cups designed to stickto any surface. It tenaciously climbs trees to forage. Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food. It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly. CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes.From its antenna, this POKéMON releases a terrifically strong odor. It crawls into foliage where it camouflages itselfamong leaves that are the same color as its body. For protection, it releases a horri  ble stench fromthe antenna on its head to drive away enemies. Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls. Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage. It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers. For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
